iter	Passed	Remaining
0	27	27630
1	29	14857
2	33	11170
3	36	9006
4	37	7518
5	39	6580
6	41	5955
7	45	5639
8	48	5380
9	51	5086
10	53	4804
11	55	4566
12	57	4332
13	58	4111
14	59	3923
15	61	3762
16	63	3672
17	65	3551
18	66	3448
19	68	3369
20	72	3387
21	75	3360
22	77	3307
23	80	3258
24	82	3218
25	85	3211
26	88	3180
27	92	3212
28	95	3198
29	97	3166
30	100	3126
31	102	3088
32	104	3071
33	108	3071
34	110	3038
35	114	3054
36	116	3024
37	118	3001
38	121	2987
39	124	2978
40	126	2967
41	129	2955
42	131	2936
43	134	2922
44	136	2900
45	139	2900
46	142	2895
47	145	2883
48	146	2851
49	148	2830
50	150	2803
51	152	2774
52	154	2753
53	155	2729
54	157	2701
55	158	2675
56	160	2647
57	161	2625
58	163	2601
59	164	2579
60	166	2569
61	169	2565
62	172	2563
63	174	2549
64	176	2538
65	178	2528
66	180	2517
67	184	2526
68	185	2507
69	187	2489
70	189	2473
71	190	2454
72	192	2438
73	193	2424
74	196	2428
75	199	2430
76	202	2422
77	204	2416
78	207	2413
79	209	2414
80	211	2401
81	212	2384
82	213	2360
83	215	2345
84	216	2328
85	217	2313
86	219	2298
87	220	2283
88	222	2278
89	226	2287
90	227	2275
91	229	2264
92	230	2251
93	232	2245
94	234	2230
95	237	2236
96	239	2226
97	240	2215
98	242	2202
99	243	2187
100	245	2182
101	308	2720
102	311	2712
103	316	2730
104	329	2805
105	339	2860
106	383	3201
107	417	3449
108	425	3477
109	428	3462
110	431	3452
111	553	4391
112	561	4409
113	573	4455
114	577	4443
115	594	4527
116	619	4672
117	794	5936
118	856	6341
119	861	6316
120	865	6289
121	868	6250
122	885	6315
123	969	6851
124	971	6801
125	973	6750
126	975	6704
127	985	6712
128	991	6693
129	996	6667
130	1012	6718
131	1019	6706
132	1021	6661
133	1028	6645
134	1039	6660
135	1043	6631
136	1055	6648
137	1141	7129
138	1219	7551
139	1222	7508
140	1224	7462
141	1226	7410
142	1234	7400
143	1238	7359
144	1245	7341
145	1248	7303
146	1250	7258
147	1252	7212
148	1254	7164
149	1257	7124
150	1258	7078
151	1260	7031
152	1261	6984
153	1265	6951
154	1267	6912
155	1271	6880
156	1277	6861
157	1281	6831
158	1289	6822
159	1295	6803
160	1298	6765
161	1300	6726
162	1306	6709
163	1311	6686
164	1313	6646
165	1314	6605
166	1320	6585
167	1325	6563
168	1329	6535
169	1337	6531
170	1341	6505
171	1344	6474
172	1358	6492
173	1361	6461
174	1371	6463
175	1375	6439
176	1382	6427
177	1386	6401
178	1389	6371
179	1391	6337
180	1394	6309
181	1396	6275
182	1398	6241
183	1400	6211
184	1402	6176
185	1403	6142
186	1406	6113
187	1412	6100
188	1414	6067
189	1415	6035
190	1418	6006
