iter	Passed	Remaining
0	136	13538
1	138	6807
2	141	4567
3	142	3415
4	143	2724
5	144	2262
6	146	1951
7	148	1704
8	149	1509
9	150	1354
10	151	1226
11	153	1122
12	154	1031
13	155	953
14	156	886
15	157	826
16	158	773
17	159	727
18	160	685
19	162	648
20	163	614
21	164	582
22	165	553
23	166	526
24	167	502
25	168	479
26	169	458
27	170	439
28	172	421
29	173	404
30	174	388
31	175	372
32	176	359
33	177	345
34	179	332
35	179	319
36	182	310
37	183	299
38	184	288
39	185	278
40	186	268
41	188	260
42	189	251
43	190	242
44	192	235
45	193	227
46	194	219
47	195	212
48	197	205
49	197	197
50	199	191
51	200	184
52	201	178
53	201	172
54	202	165
55	203	159
56	204	154
57	205	148
58	206	143
59	207	138
60	207	132
61	209	128
62	210	123
63	210	118
64	211	113
65	212	109
66	212	104
67	213	100
68	214	96
69	214	92
70	215	88
71	216	84
72	216	80
73	217	76
74	218	72
75	218	69
76	219	65
77	220	62
78	220	58
79	221	55
80	222	52
81	223	49
82	223	45
83	224	42
84	225	39
85	225	36
86	226	33
87	227	30
88	227	28
89	228	25
90	228	22
91	229	19
92	230	17
93	230	14
94	231	12
95	231	9
96	232	7
97	232	4
98	233	2
99	234	0
